Country,LAType,LAName,TotalNumberOfEstablishments(IncludingNotYetRatedAndOutside)(1),NumberOfEstablishmentsNotYetRatedForIntervention(1),NumberOfEstablishmentsOutsideProgramme(1),Total%OfInterventionsAchieved(PremisesRatedA-C),Total%OfInterventionsAchieved-PremisesRatedA,Total%OfInterventionsAchieved-PremisesRatedB,Total%OfInterventionsAchieved-PremisesRatedC,Total%OfInterventionsAchieved-PremisesNotYetRated,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-Seizure|DetentionAndSurrenderOfFood,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-SimpleCautions,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-ImprovementNotices,TotalNumberOfEstablishmentsSubjectToWrittenWarnings,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-ProsecutionsConcluded,ProfessionalFullTimeEquivalentPosts-Occupied*
England,County Council,Buckinghamshire and Surrey,9884,297,1495,5.33,76.19,3.8,6.06,21.88,0,0,0,12,0,7.5
England,County Council,Cambridgeshire  ,5101,0,0,20.64,80.95,13.19,34.91,100,0,0,0,40,0,1.5
England,County Council,Cumbria,5295,86,0,80.91,100,100,75.67,70.94,0,0,0,108,2,2.4
England,County Council,Derbyshire,9737,159,4,36.32,58.23,79.07,9.56,25.53,0,1,0,58,0,3.5
England,County Council,"Devon, Somerset and Torbay  ",23500,119,0,2.27,100,2.78,0.85,91.69,0,0,0,36,0,8
England,County Council,Dorset (2),5243,32,0,71.01,100,58.43,89.66,100,0,13,0,26,1,2.8
England,County Council,East Sussex  ,7686,47,3,30.5,94.17,32,9.87,84.62,0,0,0,29,0,1
England,County Council,Essex,10247,13,0,34.17,78.72,20.45,44.29,100,0,0,0,15,0,3.7
England,County Council,Gloucestershire  ,3644,51,0,100,100,100,NR,NR,0,0,0,12,0,1.87
England,County Council,Hampshire,9039,1143,0,4.17,43.75,4.13,2.35,8.51,0,0,1,127,0,3
England,County Council,Hertfordshire  ,7874,797,0,1.52,90.91,2.05,0.56,8.8,0,0,0,13,0,12.6
England,County Council,Kent  ,15586,1810,0,54.84,100,48,81.82,NR,0,0,0,0,0,3.8
England,County Council,Lancashire,10395,53,14,31.51,96.55,27.48,21.43,60,0,0,0,38,0,4
England,County Council,Leicestershire,3762,429,0,91.61,90.48,86.53,98.43,0,0,3,0,56,1,3
England,County Council,Lincolnshire ?,9121,55,18,1.54,18.18,1.3,2.07,71.43,0,0,0,24,0,2
England,County Council,Norfolk,9194,0,0,100,100,100,100,100,0,5,1,57,1,5.1
England,County Council,North Yorkshire  ,9889,171,0,23.26,70.45,26.5,10.85,73.08,0,0,0,45,0,2.75
England,County Council,Northamptonshire,4810,1,0,3.48,72.73,3.4,1.15,100,0,1,0,23,0,2
England,County Council,Nottinghamshire,6906,435,0,3.6,100,2.57,3.34,2.38,0,0,1,101,1,2.6
England,County Council,Oxfordshire,7684,0,0,1.1,83.72,0.99,0.25,100,0,0,2,13,1,2.43
England,County Council,Staffordshire  ,10306,156,1,21.75,100,48.82,13.16,92.17,0,0,0,89,2,3.5
England,County Council,Suffolk,10843,9826,13,11.66,57.63,6.98,5.41,100,0,0,0,17,0,2
England,County Council,Warwickshire,5527,1026,228,1.95,100,2.14,0.92,2.4,0,0,0,24,1,3
England,County Council,West Sussex,7514,89,0,23.26,100,12.23,19.51,100,0,5,0,140,1,4
England,County Council,Worcestershire,7288,2369,0,0,0,0,0,2.87,0,0,0,26,0,1
England,London Borough,Barking and Dagenham,,,,82.18,81.82,86.91,78.06,100,0,0,0,0,0,1
England,London Borough,Barnet,,,,64.23,100,76.59,58.26,100,0,0,2,229,0,1
England,London Borough,Bexley ,,,,98.68,100,94.87,99.81,100,0,0,0,580,0,1
England,London Borough,Brent,,,,87.77,65.52,84.02,92.84,72.47,0,0,0,2,0,2
England,London Borough,Bromley (3),,,,85.16,90,80.57,86.91,100,1,0,1,23,0,2.54
England,London Borough,Camden (3),,,,83.68,100,80.57,91.17,62.62,0,0,0,0,0,1
England,London Borough,City of London,,,,52.31,100,61.99,47.26,100,0,0,0,252,0,0.9
England,London Borough,Croydon,,,,25.06,31.82,26.63,23.01,100,0,0,0,322,0,4.8
England,London Borough,Ealing,,,,87.36,81.05,86.12,90,66.27,0,1,11,509,0,1.66
England,London Borough,Enfield ?,,,,43.01,100,42.54,36.98,100,0,0,0,220,0,1.5
England,London Borough,Greenwich,,,,77.57,40,66.84,87.5,89.96,0,0,1,92,0,1.9
England,London Borough,Hackney,,,,61.21,100,61.21,59.14,100,0,0,0,583,0,1.9
England,London Borough,Hammersmith and Fulham,,,,81.82,100,79.02,92.21,83,0,0,2,208,0,1
England,London Borough,Haringey ?,,,,63.96,100,68.95,61.1,84.4,0,0,0,13,0,1.55
England,London Borough,Harrow,,,,43.48,40,54.36,32.41,100,2,0,3,64,0,2
England,London Borough,Havering,,,,80.04,100,83.26,77.16,85.39,0,0,0,510,0,0.5
England,London Borough,Hillingdon,,,,99.91,100,100,99.88,100,4,0,5,195,0,1
England,London Borough,Hounslow  ,,,,71.5,75,66.3,75.55,100,0,0,1,580,0,3
England,London Borough,Islington,,,,98.45,100,95.79,99.28,100,0,0,5,4,0,1.5
England,London Borough,Kensington and Chelsea,,,,100,NR,100,100,99.54,0,0,0,160,0,1.75
