Country,Authoritytype,Authorityname,Analysistype-Microbiologicalcontamination,Analysistype-Othercontamination,Analysistype-Composition,Analysistype-Labelling&presentation,Analysistype-Other,Totalnumberofsamplestaken
England,County Council,Buckinghamshire and Surrey,0,37,106,8,0,132
England,County Council,Cambridgeshire,0,1,20,21,0,24
England,County Council,Cumbria ,0,0,123,16,0,123
England,County Council,Derbyshire,0,1,70,73,1,74
England,County Council,"Devon, Somerset and Torbay",22,15,197,63,14,234
England,County Council,Dorset,0,9,33,26,3,44
England,County Council,East Sussex,0,0,161,103,0,172
England,County Council,Essex,0,49,52,21,1,123
England,County Council,Gloucestershire,0,0,12,0,0,12
England,County Council,Hampshire,0,5,35,48,0,55
England,County Council,Hertfordshire,23,18,199,248,25,360
England,County Council,Kent (1),0,0,0,0,340,340
England,County Council,Lancashire,0,0,210,0,0,210
England,County Council,Leicestershire,0,23,13,17,0,53
England,County Council,Lincolnshire ,0,0,66,6,0,72
England,County Council,Norfolk,1,23,119,76,3,145
England,County Council,North Yorkshire ,0,0,89,4,0,91
England,County Council,Northamptonshire,0,0,0,3,0,3
England,County Council,Nottinghamshire ,0,0,0,0,0,0
England,County Council,Oxfordshire,0,2,17,12,0,20
England,County Council,Staffordshire,0,0,0,25,0,25
England,County Council,Suffolk,2,6,128,78,0,164
England,County Council,Warwickshire,1,1,10,6,1,10
England,County Council,West Sussex,1,3,42,43,1,69
England,County Council,Worcestershire,0,0,25,0,0,25
England,District Council,Adur and Worthing ,9,0,0,0,0,9
England,District Council,Allerdale,86,0,0,0,0,86
England,District Council,Amber Valley ,3,8,0,0,0,11
England,District Council,Arun,13,0,0,0,0,13
England,District Council,Ashfield,32,0,0,0,0,32
England,District Council,Ashford,27,0,0,0,0,27
England,District Council,Aylesbury Vale,10,0,0,0,0,10
England,District Council,Babergh and Mid Suffolk ,50,0,0,0,0,50
England,District Council,Barrow-in-Furness,0,0,0,0,0,0
England,District Council,Basildon,0,0,0,0,0,0
England,District Council,Basingstoke and Deane,41,0,0,0,0,41
England,District Council,Bassetlaw,40,0,0,0,0,40
England,District Council,Blaby,26,0,0,0,0,26
England,District Council,Bolsover,59,1,0,0,0,60
England,District Council,Boston,38,0,0,0,0,38
England,District Council,Braintree,50,0,0,0,0,50
England,District Council,Breckland,119,0,0,0,0,119
England,District Council,Brentwood,118,0,0,0,0,118
England,District Council,Broadland,493,0,0,0,0,493
England,District Council,Bromsgrove,11,0,0,0,0,11
England,District Council,Broxbourne,2,0,0,0,0,2
England,District Council,Broxtowe,116,0,0,0,0,116
England,District Council,Burnley,12,0,0,0,0,12
