Country ,Authority Type,Authority Name ,AnalysisType-Microbiologicalcontamination,AnalysisType-Othercontamination,AnalysisType-Composition,AnalysisType-Labellingandpresentation,AnalysisType-Others,Totalnumberofsamplestaken
England ,County Council,Buckinghamshire and Surrey,2,25,238,273,0,315
England ,County Council,Cambridgeshire,1,3,34,21,0,39
England ,County Council,Cumbria ,0,0,92,12,0,104
England ,County Council,Derbyshire,0,0,49,32,0,49
England ,County Council,"Devon, Somerset and Torbay",4,25,116,39,11,158
England ,County Council,Dorset,0,2,38,22,0,44
England ,County Council,East Sussex,0,0,122,72,0,124
England ,County Council,Essex,13,17,112,73,1,209
England ,County Council,Gloucestershire,0,0,4,0,0,4
England ,County Council,Hampshire,0,5,13,25,0,26
England ,County Council,Hertfordshire,5,5,99,318,46,376
England ,County Council,Kent,0,66,305,350,0,350
England ,County Council,Lancashire,0,0,298,0,0,298
England ,County Council,Leicestershire,0,25,23,21,1,70
England ,County Council,Lincolnshire,0,0,110,1,0,111
England ,County Council,Norfolk ,2,25,115,104,3,153
England ,County Council,North Yorkshire ,0,0,28,0,0,28
England ,County Council,Northamptonshire,0,4,14,79,0,88
England ,County Council,Nottinghamshire ,1,7,22,4,2,29
England ,County Council,Oxfordshire,13,1,2,14,1,15
England ,County Council,Staffordshire,0,0,0,32,0,32
England ,County Council,Suffolk ,6,22,114,62,3,147
England ,County Council,Warwickshire,0,0,18,4,0,18
England ,County Council,West Sussex,2,13,39,36,0,64
England ,County Council,Worcestershire ,0,0,42,3,0,45
England,District Council,Adur & Worthing ,6,0,0,0,0,6
England,District Council,Allerdale,52,0,0,0,0,52
England,District Council,Amber Valley,24,0,0,0,13,24
England,District Council,Arun,69,0,0,0,0,69
England,District Council,Ashfield,0,0,0,0,0,0
England,District Council,Ashford,176,0,0,0,0,176
England,District Council,Aylesbury Vale,33,0,0,0,0,33
England,District Council,Babergh and Mid Suffolk,50,0,0,0,0,50
England,District Council,Barrow-in-Furness,20,0,0,0,0,20
England,District Council,Basildon,39,0,0,0,0,39
England,District Council,Basingstoke & Deane,18,0,0,2,0,20
England,District Council,Bassetlaw,121,0,0,0,0,121
England,District Council,Blaby,7,0,0,0,0,7
England,District Council,Bolsover,75,0,0,0,0,75
England,District Council,Boston,31,0,0,0,0,31
England,District Council,Braintree,32,0,0,0,0,32
England,District Council,Breckland ,79,0,0,0,0,79
England,District Council,Brentwood,94,1,0,0,0,95
England,District Council,Broadland ,237,0,0,0,0,237
England,District Council,Bromsgrove,40,0,0,0,0,40
England,District Council,Broxbourne ? ,,,,,,
England,District Council,Broxtowe,93,0,0,0,0,93
England,District Council,Burnley,8,0,0,0,0,8
England,District Council,Cambridge City,60,0,0,0,0,60
England,District Council,Cannock Chase,20,0,0,0,0,20
England,District Council,Canterbury City,43,0,0,0,0,43
